NORMAL: 2018.02.06 18:05:02.189    软件启动！
NORMAL: 2018.02.06 18:05:03.534    选择汽车型号： 吉利帝豪PHEV_ISG
NORMAL: 2018.02.06 18:05:04.628    打开CAN设备成功！
NORMAL: 2018.02.06 18:05:04.628    启动数据收发线程！
NORMAL: 2018.02.06 18:05:04.629    开始进行CAN通信！
NORMAL: 2018.02.06 18:05:04.829    开始进行诊断线程！
NORMAL: 2018.02.06 18:05:04.832    发送 0000000000 0x00000735 数据帧 标准帧 08 02 10 03 00 00 00 00 00
NORMAL: 2018.02.06 18:05:04.834    接收 0x00d9991d 0x0000073d 数据帧 标准帧 08 06 50 03 00 32 01 F4 AA
NORMAL: 2018.02.06 18:05:04.837    发送 0000000000 0x00000735 数据帧 标准帧 08 02 27 01 55 55 55 55 55
NORMAL: 2018.02.06 18:05:04.840    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:05:04.848    接收 0x00d99924 0x0000073d 数据帧 标准帧 08 06 67 01 01 0B 36 48 AA
NORMAL: 2018.02.06 18:05:04.848    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:05:04.854    发送 0000000000 0x00000735 数据帧 标准帧 08 06 27 02 D0 37 5A 41 55
NORMAL: 2018.02.06 18:05:04.856    接收 0x00d99933 0x0000073d 数据帧 标准帧 08 02 67 02 AA AA AA AA AA
NORMAL: 2018.02.06 18:05:04.856    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:05:04.858    发送 0000000000 0x00000735 数据帧 标准帧 08 02 3E 00 00 00 00 00 00
NORMAL: 2018.02.06 18:05:04.860    接收 0x00d99937 0x0000073d 数据帧 标准帧 08 02 7E 00 AA AA AA AA AA
NORMAL: 2018.02.06 18:05:04.861    对应接收的数据帧中值与配置文件完全一致，本条指令完成！
NORMAL: 2018.02.06 18:05:04.861    选中车型对应配置文件：C:/Users/chengshulei.GLBPOWER/Documents/Visual Studio 2013/Projects/DiagnosePage_20180118/Win32/Release/configure/帝豪PHEV_ISG/Diag_Set.txt
